OBJECTID,TYPE,YEAR,DATE_,TIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,DATETIME
1,Possession,2012,2012/01/01 05:00:00+00,1:00:00,"b';\xc8k~\xa4iJ'",20,5D,501,399700,137900,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,FLORIDA AVE NE,401400,136900,2012/01/01 06:00:00+00
2,Possession,2012,2012/01/01 05:00:00+00,1:00:00,"b';\xc8k~\xa4iJ'",23,5D,501,399700,137900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,FLORIDA AVE NE,401400,136900,2012/01/01 06:00:00+00
3,Possession,2012,2012/01/01 05:00:00+00,1:00:00,b't6\xa0\xac\xec`\xa4',46,7D,707,399700,130600,705,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3300 BLOCK OF BROTHERS PL SE,399700,130600,2012/01/01 06:00:00+00
4,Possession,2012,2012/01/01 05:00:00+00,4:35:00,b'\xbe\x1d\xa7\xf5\xffWx',30,6D,605,403300,134500,605,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,700 BLOCK OF 32ND ST SE,0,0,2012/01/01 09:35:00+00
5,Possession with intent to distribute,2012,2012/01/02 05:00:00+00,14:40:00,b'\xbb\xc0\x8e\x94\x81\xac\xcd',29,6D,604,406400,135300,,,U,U ,M,Narcotics,Ucsa Pwid Marijuana,5300 BLOCK OF B ST SE,0,0,2012/01/02 19:40:00+00
6,Possession,2012,2012/01/02 05:00:00+00,16:47:00,b'\x94\xd2y\xaa\xf5\x1a\xcc',33,6D,604,406700,135700,301,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,UNIT BLOCK OF 55TH ST SE,406700,135700,2012/01/02 21:47:00+00
7,Possession with intent to distribute,2012,2012/01/02 05:00:00+00,20:30:00,b'\x86\xb5?\x7f\xe1\xde\x86',28,6D,601,404300,137400,502,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3700 BLOCK OF HAYES ST NE,404300,137400,2012/01/03 01:30:00+00
8,Possession,2012,2012/01/03 05:00:00+00,2:05:00,b'\nt\xb3~+\xca\xe6',36,5D,501,399300,138000,702,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,BATES ST NW,0,0,2012/01/03 07:05:00+00
9,Possession with intent to distribute,2012,2012/01/03 05:00:00+00,17:01:00,b'6\x1d\xfa/y\xe0:',35,6D,604,406200,135000,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,400 BLOCK OF 51ST ST SE,406200,135000,2012/01/03 22:01:00+00
10,Possession,2012,2012/01/03 05:00:00+00,23:15:00,b'\x8f.\xc0.\x99\\\xca',27,4D,403,397600,143000,501,5D,U,U ,M,Narcotics,Ucsa Possession Marijuana,5400 BLOCK OF GEORGIA AVE NW,397600,143000,2012/01/04 04:15:00+00
